"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q3","10-Q","2024-07-29","2024-10-27","90","795000000","2024-11-19","0000354950-24-000240",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q3","10-Q","2024-07-29","2024-10-27","90","795000000","2025-11-25","0001628280-25-053868","CY2024Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","FY","10-K","2024-01-29","2025-02-02","370","3034000000","2025-03-21","0000354950-25-000085",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","FY","10-K","2024-01-29","2025-02-02","370","3034000000","2026-03-18","0001628280-26-019436","CY2024"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q1","10-Q","2025-02-03","2025-05-04","90","796000000","2025-05-28","0000354950-25-000165",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2026","Q1","10-Q","2025-02-03","2025-05-04","90","796000000","2026-05-27","0001628280-26-038247","CY2025Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q2","10-Q","2025-02-03","2025-08-03","181","1602000000","2025-08-26","0000354950-25-000217",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2026","Q2","10-Q","2025-02-03","2025-08-03","181","1602000000","2026-08-25","0001628280-26-058715",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q2","10-Q","2025-05-05","2025-08-03","90","806000000","2025-08-26","0000354950-25-000217",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2026","Q2","10-Q","2025-05-05","2025-08-03","90","806000000","2026-08-25","0001628280-26-058715","CY2025Q2"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q3","10-Q","2025-02-03","2025-11-02","272","2428000000","2025-11-25","0001628280-25-053868",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q3","10-Q","2025-08-04","2025-11-02","90","826000000","2025-11-25","0001628280-25-053868","CY2025Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","FY","10-K","2025-02-03","2026-02-01","363","3273000000","2026-03-18","0001628280-26-019436","CY2025"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2026","Q1","10-Q","2026-02-02","2026-05-03","90","841000000","2026-05-27","0001628280-26-038247","CY2026Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2026","Q2","10-Q","2026-02-02","2026-08-02","181","1693000000","2026-08-25","0001628280-26-058715",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2026","Q2","10-Q","2026-05-04","2026-08-02","90","852000000","2026-08-25","0001628280-26-058715","CY2026Q2"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","FY","10-K","2018-01-29","2019-02-03","370","21630000000","2021-03-24","0000354950-21-000089","CY2018"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q1","10-Q","2019-02-04","2019-05-05","90","5420000000","2020-05-27","0000354950-20-000041","CY2019Q1"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q2","10-Q","2019-02-04","2019-08-04","181","10956000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q2","10-Q","2019-05-06","2019-08-04","90","5536000000","2020-08-25","0000354950-20-000068","CY2019Q2"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q3","10-Q","2019-02-04","2019-11-03","272","16396000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q3","10-Q","2019-08-05","2019-11-03","90","5440000000","2020-11-24","0000354950-20-000103","CY2019Q3"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","FY","10-K","2019-02-04","2020-02-02","363","21729000000","2021-03-24","0000354950-21-000089",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","FY","10-K","2019-02-04","2020-02-02","363","21729000000","2022-03-23","0000354950-22-000070","CY2019"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q1","10-Q","2020-02-03","2020-05-03","90","6349000000","2020-05-27","0000354950-20-000041",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q1","10-Q","2020-02-03","2020-05-03","90","6349000000","2021-05-25","0000354950-21-000147","CY2020Q1"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q2","10-Q","2020-02-03","2020-08-02","181","13223000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q2","10-Q","2020-02-03","2020-08-02","181","13223000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q2","10-Q","2020-05-04","2020-08-02","90","6874000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q2","10-Q","2020-05-04","2020-08-02","90","6874000000","2021-08-24","0000354950-21-000189","CY2020Q2"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q3","10-Q","2020-02-03","2020-11-01","272","19827000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q3","10-Q","2020-02-03","2020-11-01","272","19827000000","2021-11-23","0000354950-21-000234",""
"HD","The Home Depot, Inc.","OperatingExpenses","2020","Q3","10-Q","2020-08-03","2020-11-01","90","6604000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q3","10-Q","2020-08-03","2020-11-01","90","6604000000","2021-11-23","0000354950-21-000234","CY2020Q3"
"HD","The Home Depot, Inc.","OperatingExpenses","2020","FY","10-K","2020-02-03","2021-01-31","363","26575000000","2021-03-24","0000354950-21-000089",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","FY","10-K","2020-02-03","2021-01-31","363","26575000000","2022-03-23","0000354950-22-000070",""
